id	notable_types
/m/03gss12	/projects/project_focus,/architecture/structure,/location/location
/m/0260w54	/location/location,/location/dated_location,/location/citytown,/location/statistical_region
/m/0260xrp	/government/political_party,/organization/organization
/m/02610rn	/book/written_work,/fictional_universe/work_of_fiction,/book/book
/m/02610t0	/broadcast/radio_station,/broadcast/broadcast
/m/02612cm	/business/brand
/m/02613jr	/protected_sites/protected_site,/location/dated_location,/location/location
/m/026144c	
/m/02614ws	/organization/organization,/religion/religious_organization
/m/026152n	/people/person,/military/military_person,/royalty/chivalric_order_member,/people/deceased_person
/m/026158j	/time/event,/military/military_conflict
/m/026160y	/metropolitan_transit/transit_system
/m/02616d8	
/m/02616ql	
/m/02618bk	/location/location,/architecture/building,/architecture/museum,/architecture/structure,/travel/tourist_attraction,/projects/project_focus
/m/0261_bx	/biology/organism_classification
/m/0261_m4	/military/military_person,/people/person
/m/0261_zh	/people/person,/sports/pro_athlete
/m/0261c3c	
/m/0261cx5	/tv/tv_series_episode
/m/0261f1c	/cvg/computer_videogame
/m/0261gxz	/base/sails/sailing_ship,/boats/ship
/m/0261hg4	
/m/0261hth	/people/deceased_person,/people/person,/royalty/chivalric_order_member,/royalty/noble_person
/m/0261krh	/government/u_s_congressperson,/government/politician,/people/deceased_person,/people/person
/m/0261lps	
/m/0261nyb	/military/military_unit,/organization/organization
/m/0261p2h	/people/person,/olympics/olympic_athlete,/sports/pro_athlete
/m/0261qd2	/people/person,/people/deceased_person
/m/0261sk_	/biology/organism_classification
/m/0261t_4	/people/person
/m/0261vqx	
/m/0261yg_	/sports/pro_athlete,/people/person,/soccer/football_player
/m/0261yxr	/location/uk_civil_parish,/location/citytown,/location/location,/location/administrative_division,/location/dated_location,/location/statistical_region
/m/0261z3m	/opera/opera,/music/composition
/m/02620hq	/sports/pro_athlete,/olympics/olympic_athlete,/soccer/football_player,/people/person
/m/026212b	/location/location,/projects/project_focus,/business/shopping_center,/architecture/structure
/m/02621w4	/time/event,/law/legal_case
/m/02622_l	
/m/02622hf	/location/citytown,/location/statistical_region,/location/dated_location,/location/location
/m/026262t	/tv/tv_series_episode
/m/02626f3	/location/location,/geography/geographical_feature,/geography/body_of_water,/geography/river
/m/02626sg	/people/deceased_person,/people/person
/m/02627m8	/time/recurring_event
/m/026299n	/book/literary_series
/m/02629kk	/projects/project_focus,/location/location,/architecture/venue,/architecture/structure,/sports/sports_facility
/m/0262bg3	/medicine/disease
/m/0262btg	/medicine/disease
/m/0262cn8	/tv/tv_program
/m/0262crr	/people/deceased_person,/people/person
/m/0262gty	/people/person,/sports/pro_athlete,/soccer/football_player
/m/0262hc3	
/m/0262k0r	/book/periodical,/book/newspaper
/m/0262kz_	/location/dated_location,/location/statistical_region,/location/administrative_division,/location/in_district,/location/location
/m/0262lfv	
/m/0262lq2	
/m/0262m0g	/sports/sports_team,/baseball/baseball_team
/m/0262n04	/visual_art/visual_artist,/people/person,/people/deceased_person
/m/0262nfk	/book/periodical,/business/employer
/m/0262ps9	/book/book_subject,/military/military_conflict,/time/event
/m/0262t3l	
/m/0262v6_	
/m/0262xml	/location/dated_location,/location/location
/m/02630dp	/music/composer,/people/person,/music/artist,/music/group_member
/m/02631m7	/people/person,/chess/chess_player
/m/02632m_	/location/location
/m/02633bp	/music/composition
/m/02635k_	/business/employer,/organization/organization,/education/educational_institution
/m/026375x	/location/location
/m/02638cc	/book/periodical,/book/journal,/business/employer
/m/02639c0	/government/politician,/government/u_s_congressperson,/people/deceased_person,/people/person
/m/0263_35	
/m/0263b8m	/people/person,/tv/tv_personality
/m/0263bjj	/people/person
/m/0263bmh	/people/person
/m/0263dz6	/book/book,/book/written_work
/m/0263f7v	/fictional_universe/fictional_character
/m/0263g3d	/location/location
